Y(mm),Z(mm),T(s)
0.032601975,-3.343949657,102.03125
0.017511963,-3.339553303,102.1875
0.125150011,-3.452955792,102.34375
0.691517474,-4.672042513,102.5
0.648269137,-4.148604167,102.65625
0.280461233,-3.012360137,102.8125
0.074895734,-3.50918959,102.96875
0.020168735,-3.466401067,103.125
0.02790515,-3.444212683,103.28125
0.012673081,-3.450166646,103.4375
0.523042423,-5.332164284,103.59375
0.562206691,-4.736334816,103.75
0.37324176,-3.269586119,103.90625
0.172618558,-3.26063431,104.0625
0.025813895,-3.436629607,104.21875
0.034756138,-3.396438583,104.375
0.018728926,-3.39601521,104.53125
0.113674939,-3.463928751,104.6875
0.667984508,-4.742603669,104.84375
0.671135975,-4.176996675,105
0.286221751,-2.985469359,105.15625
0.082718786,-3.442298503,105.3125
0.025373254,-3.415486428,105.46875
0.033337006,-3.397233596,105.625
0.013794576,-3.407848378,105.78125
0.479975169,-5.340456414,105.9375
0.545406325,-4.712544621,106.09375
0.579632003,-3.610938291,106.25
0.268798227,-3.164816807,106.40625
0.043051966,-3.608565556,106.5625
0.027162065,-3.575785439,106.71875
0.01955624,-3.573300425,106.875
0.014037678,-3.567097298,107.03125
0.496245311,-5.225009742,107.1875
0.498239321,-4.687007214,107.34375
0.516503304,-3.76296407,107.5
0.320809479,-3.158066708,107.65625
0.088511542,-3.664105788,107.8125
0.009853923,-3.655346851,107.96875
0.018942546,-3.638427445,108.125
0.004148313,-3.638544349,108.28125
0.017032037,-3.621184196,108.4375
0.185984607,-4.003536846,108.59375
0.619028079,-4.275582805,108.75
0.434393429,-4.443910296,108.90625
0.582103615,-3.925438248,109.0625
0.643271178,-3.727306404,109.21875
0.466624898,-3.817610907,109.375
0.170052226,-4.300534527,109.53125
0.020624099,-4.480435142,109.6875
0.000642195,-4.449023653,109.84375
-0.006838617,-4.435415296,110
-0.007402484,-4.433006747,110.15625
0.099768924,-4.432847118,110.3125
0.356903916,-3.970397312,110.46875
0.566004195,-3.702363632,110.625
0.429493571,-3.724593393,110.78125
0.350435159,-3.552833693,110.9375
0.023689262,-4.047445591,111.09375
0.005129144,-4.005127434,111.25
-0.003740665,-3.987250328,111.40625
-0.02448809,-3.987775302,111.5625
0.038160775,-3.992431565,111.71875
0.578025236,-5.110979531,111.875
0.987704277,-4.298221046,112.03125
0.314683227,-3.310066908,112.1875
0.131203577,-3.817273507,112.34375
0.000183569,-3.909056056,112.5
-0.001955945,-3.895810752,112.65625
-0.01483902,-3.901591507,112.8125
0.02073374,-3.881242256,112.96875
0.183549183,-3.89993007,113.125
0.502679295,-3.528940855,113.28125
0.54480771,-3.553303816,113.4375
0.258648039,-3.806365234,113.59375
0.082010998,-4.128890155,113.75
-0.008846307,-4.153788001,113.90625
-0.007869414,-4.126174796,114.0625
0.025920086,-4.112389833,114.21875
0.035699343,-4.113887585,114.375
0.055552503,-4.138572649,114.53125
0.074052302,-4.15016693,114.6875
0.087482044,-4.167358494,114.84375
0.097053022,-4.182150257,115
0.093811936,-4.196375838,115.15625
0.088409363,-4.202021969,115.3125
0.083568963,-4.205491145,115.46875
0.080422982,-4.208533194,115.625
0.078225035,-4.209667091,115.78125
0.079762601,-4.209009865,115.9375
0.079618252,-4.209968531,116.09375
0.079773815,-4.209790316,116.25
0.080983042,-4.209362242,116.40625
0.081451009,-4.210463619,116.5625
0.081549625,-4.213236775,116.71875
0.078247569,-4.217472434,116.875
0.078527434,-4.217887076,117.03125
0.078768801,-4.215670734,117.1875
0.080263942,-4.218702707,117.34375
0.079796251,-4.217601242,117.5
0.079048701,-4.21608537,117.65625
0.078590802,-4.217980965,117.8125
0.077776691,-4.216358998,117.96875
0.077595537,-4.218709612,118.125
0.076670642,-4.219501639,118.28125
0.075850933,-4.21772031,118.4375
0.075736423,-4.217301385,118.59375
0.075549052,-4.216616014,118.75
0.075269405,-4.216201682,118.90625
0.074989778,-4.215787405,119.0625
0.074522856,-4.214688065,119.21875
0.073316182,-4.215107829,119.375
0.072948034,-4.216713994,119.53125
0.072938319,-4.213725907,119.6875
0.071849851,-4.214521337,119.84375
0.072119498,-4.211947641,120
0.072319831,-4.215632368,120.15625
0.072497268,-4.213328971,120.3125
0.071555457,-4.211112244,120.46875
0.071276101,-4.210698533,120.625
0.06989342,-4.213420057,120.78125
0.069240327,-4.211639128,120.9375
0.069623882,-4.215990392,121.09375
0.070540156,-4.212174267,121.25
0.070540156,-4.212174267,121.40625
0.07081946,-4.21258794,121.5625
0.070540156,-4.212174267,121.71875
0.071098784,-4.21300167,121.875
0.071098784,-4.21300167,122.03125
0.071742572,-4.211796431,122.1875
0.071285843,-4.213685848,122.34375
0.069148049,-4.211909171,122.5
